,Abandoned Vehicle Complaint,Alley Light Out Complaint,Alley Pothole Complaint,Alley Sewer Inspection Request,Animal In Trap Complaint,Bee/Wasp Removal,Bicycle Request/Complaint,Building Violation,Bungalow Rehab/Purchase Information Request,Business Complaints / Reopening Issue,Cab Feedback,Cable TV Complaint,City Vehicle Sticker Violation,Clean Vacant Lot Request,Clean and Green Program Request,Consumer Fraud Complaint,Consumer Retail Store Complaint,Coyote Interaction Complaint,Dead Animal Pick-Up Request,Dead Bird,E-Scooter,Extreme Weather Notification,Fly Dumping Complaint,Garbage Cart Maintenance,Graffiti Removal Request,Home Buyer Program Info Request,Ice and Snow Removal Request,Inaccurate Fuel Pump Complaint,Inaccurate Retail Scales Complaint,Lead Inspection Request,Licensed Pharmaceutical Representative Complaint,Liquor Establishment Complaint,Low Water Pressure Complaint,Minimum Wage Complaint,Missed Garbage Pick-Up Complaint,No Building Permit and Construction Violation,No Solicitation Complaint,No Water Complaint,Nuisance Animal Complaint,Open Fire Hydrant Complaint,Outdated Merchandise Complaint,Paid Sick Leave Violation,Pavement Cave-In Inspection Request,Pet Wellness Check Request,Petcoke Dust Complaint,Porch Inspection Request,Pothole in Street Complaint,Protected Bike Lane - Debris Removal,Public Vehicle/Valet Complaint,Pushcart Food Vendor Complaint,Recycling Inspection Request,Renters and Foreclosure Complaint,Report an Injured Animal,Restaurant Complaint,Ridesharing Complaint,Rodent Baiting/Rat Complaint,Sanitation Code Violation,Sewer Cave-In Inspection Request,Sewer Cleaning Inspection Request,Shared Housing/Vacation Rental Complaint,Sidewalk Cafe Complaint,Sidewalk Inspection Request,Sign Repair Request - All Other Signs,Sign Repair Request - Do Not Enter Sign,Sign Repair Request - One Way Sign,Sign Repair Request - Stop Sign,Smokeless Tobacco at Sports Event Complaint,Snow - Object/Dibs Removal Request,Snow Removal - Protected Bike Lane or Bridge Sidewalk,Snow – Uncleared Sidewalk Complaint,Stray Animal Complaint,Street Cleaning Request,Street Light On During Day Complaint,Street Light Out Complaint,Street Light Pole Damage Complaint,Street Light Pole Door Missing Complaint,Tobacco - General Complaint,Tobacco - Sale to Minors Complaint,Traffic Signal Out Complaint,Tree Debris Clean-Up Request,Tree Planting Request,Tree Removal Request,Tree Trim Request,Vacant/Abandoned Building Complaint,Vehicle Parked in Bike Lane Complaint,Viaduct Light Out Complaint,Vicious Animal Complaint,Water On Street Complaint,Water Quality Concern,Water in Basement Complaint,Weed Removal Request,Wire Basket Request,Yard Waste Pick-Up Request
People under 30,349.01293909821953,300.5833210329811,362.15351119495494,439.7210598618098,380.3601412155181,414.1484807912438,234.44485507337646,351.6230800338814,302.45229334263973,532.4885951687846,304.1998411786791,377.05831485359556,381.8848653122946,400.10004684164113,306.0216412801616,324.9768284754879,400.5553644954622,460.4725205076988,373.9716752975897,405.9946051061474,406.3061925788964,340.019223680297,394.3242220037899,364.9526480751015,392.25118283887815,285.59150344278567,344.92200384025284,261.0439769058518,203.81253541071072,317.238229568195,281.09103928831286,364.52999065487364,343.29002356081406,310.3635039143784,376.64834890371816,322.56989758775893,327.53165061763144,319.82550482173406,384.61553161163494,334.4278871092517,298.31464351456617,516.3241034641255,98.06273656355525,355.86054862938397,244.5403675836132,315.9259553326881,362.4530237786112,575.6112964869284,379.91040715711307,324.8729524853381,340.6202285156323,272.56383075956006,379.62354774679955,348.11807580098554,432.20034531696547,367.85118248635314,340.06192635101286,318.5537325907643,341.7867512001736,423.18782254653996,400.383353733193,252.62812585283348,367.58555326662133,406.3730895319951,392.0210406820683,386.05900432733785,426.65112665803923,317.0800492188837,569.725764541631,378.19461159667213,334.79101014113184,398.45544712008206,226.92274721572753,353.2973892358548,361.9008062869075,287.95139397857236,342.0613186807703,313.3629723502693,359.4490307934654,361.1757827484474,233.6328909659629,281.8745190874844,272.38759320560456,342.44698220301336,376.96329033148476,285.1996121838332,367.8572700897921,391.6835741028138,348.11747058215656,416.6442106594885,318.3201867110419,408.1090203976394,397.22166936885014
People between 30 and 59,347.504688590194,303.8256075861608,359.763657006827,439.5921806724903,382.6272795063247,412.76426487106664,234.97541134320676,351.112098850484,300.3754741761031,538.7967732107584,309.2207227570197,378.2878206927043,383.0460614382322,400.9748767476792,305.0625041953965,320.72648650880586,400.92603030189304,460.8481901987239,371.03352193433716,403.2432546452751,407.0232961779559,347.9853266314929,398.60659497123055,363.5249909417438,390.4179532073764,285.37797987423164,348.87069813589244,266.69733936074755,218.26911181097537,320.9784950141409,289.3712677738883,360.4264968434587,342.6744116793651,314.61519223253237,379.9016666846796,321.30085246803867,325.1599022572228,320.06034347874544,383.75361850400674,333.76301241635616,315.33542595837633,514.3533260878044,97.93762182142869,354.58233557903975,263.9683712261612,321.67402118822014,360.5634660421328,570.6640429701936,378.92566039752865,348.4313600177206,345.02375079365254,275.6238506032279,380.44009767904004,345.96138779206046,428.3632361078225,368.6410505750206,340.87197994081856,319.5320882557561,341.8642857364974,397.3148506364354,400.00841263816403,252.22934593281468,367.187356486756,409.13237242240774,394.6243683914439,386.07848132145915,479.37380738071835,321.32853965617494,567.2521325046843,377.67386144439274,332.6869395547848,399.8923764659818,223.0203001130962,352.15279599648676,361.57331991484006,290.40306138602364,345.9736511258356,330.78050564534203,357.11631672739975,362.5265379183772,236.66874022015824,282.0762377142098,271.1585362661945,345.3749686980583,378.3102614308063,286.1875203287699,369.76809540519554,392.78341365466287,345.92749024559606,417.3248079044207,322.67218619671627,408.2660508380306,399.3201275555433
People 60 and older,346.93168509865507,302.0497878866895,361.17357173308426,439.7903494343291,375.87063259428925,407.74131534561263,227.90978387486902,353.67986883915484,284.24892787033883,544.601167778377,309.15254628409434,377.9326167149951,379.6139985052518,397.64247198426807,296.95982107799495,320.47318677303514,397.1805175588055,463.36531942298865,371.5783129100114,398.28229720530373,408.50243175586905,370.44450770167003,395.69928137932976,363.505202463411,390.04167761453544,284.389484423694,341.14978613557395,269.1729400861709,173.18577329740103,305.13139248132137,313.72820308537354,365.4654139128181,344.7651883495017,302.0533926912916,379.01754349681175,325.29990253321665,333.11940172948704,322.74493302173283,382.486268894464,333.21315053747196,305.6141575468984,515.270828560112,94.44265943906377,351.9933462325516,246.35827054920296,326.1571626278184,360.66320907764884,570.2986385359995,386.59441679733794,334.8044951939995,347.06000680972437,259.938413048493,383.92130511548146,346.648272900787,420.011093568231,370.48824899559355,342.0069841570177,320.88914858562316,342.1711294158546,412.88750347465214,385.9401240535347,249.93041435581927,368.51676039204267,412.7598735626284,392.0628518043306,387.5912257691305,418.2201123942897,321.8140417113345,565.7678678281568,377.5520657102322,333.36671934385845,392.8166998501849,221.91382457998714,352.64321248631984,364.1990085700946,296.98916838222567,348.90876677378174,319.8804147207681,357.0387778005347,362.1392437593863,226.34372861507026,284.1500335519267,272.9385504798111,341.22989332081454,374.3980880413916,288.8101364203123,372.19405286987995,393.3861233060529,335.49065285399087,420.95053360852967,313.7669646516764,396.8872368391949,395.8903494177876
All Hispanic or Latino People,353.95855938593326,300.18069163435325,365.00391706626345,448.99064392071153,398.82409887850883,420.33167551345036,225.01962669000036,346.57084389229635,300.6372413267445,508.66764943708415,307.8021753569555,385.1108043189674,380.7743669167561,414.5011766546689,315.1772656025919,327.46307280991493,435.1514139247112,436.4165042976305,373.12892310350225,389.97622628515586,408.212363097432,324.8347531042449,394.94117284718504,366.35002461651686,396.10689033680785,292.10495831285886,346.51782649494015,277.7584189548273,171.78137065637065,335.20928579499906,198.0,379.86778693692594,340.11363121987836,277.9659604693412,374.85391997140215,324.94138794735034,350.4813444306112,310.62248583819195,383.9983836175832,324.3333712056376,304.3351337517247,526.9726463978085,99.30094180357708,360.57832876987635,234.0860077021823,294.5314732139151,367.1665653944312,587.2478455704929,394.766943385193,320.1400504285286,348.07873933546097,270.2132072057582,379.42900492458347,349.70707408846596,439.99460613493545,364.47719915299194,339.72483641284936,315.45092006090283,335.24557398148653,473.56658690512893,421.26475131596777,250.61538021940365,363.694693937426,416.4003392009231,395.930913013649,388.5031558744803,380.0573819485953,302.2815754846991,574.3485962475833,382.524488297015,337.50868546846874,404.08656317270606,207.4685342983075,362.31237181709855,358.40378919990735,300.3695096169895,321.3325697903979,325.97776139990265,355.2655114779236,366.9556074039621,227.48034281097208,294.15859374549854,271.28218840575215,329.39106335326414,399.5805255155256,297.7921153406695,366.1176810635354,397.48883209574547,351.09075158325453,423.354432547102,322.03509026614483,419.39998405989553,405.14469447456344
All non-Hispanic or Latino People,345.3764324655527,303.1101574203155,359.26022983255103,435.2586122782666,373.2773142267748,409.62172717245073,239.84459950458321,353.7260282345203,296.4962429475991,550.8860359163752,306.8346206664946,375.0246893760157,383.0551217055514,395.5731109834008,301.4187406687183,320.5802646814156,386.05582742104775,468.46670495952657,371.8872910902792,408.81364301415834,406.26947927662593,351.80333089694057,396.8276513922994,363.1075089620613,388.911956287088,283.4056120367166,346.3595114084352,260.0938192922561,224.20194940313218,309.79932924681356,313.35749588138384,355.14198781496253,344.48479410263604,322.9329515825999,379.7804387769681,321.1212400798014,320.6976287472941,324.6127900722863,383.98714848273704,338.3484965745158,308.79836012976364,510.5872172887175,96.68079753529598,351.88562921510857,264.4443235400798,329.87168744657384,358.64531612316745,567.2162897008153,372.2809377537401,351.0119323422581,342.0688694698042,270.34596570788005,381.1554481417766,345.7123448750411,425.05643798691693,370.2195739489302,341.09876506045964,320.8590381004991,344.59841047890603,386.0302298273615,390.34834174110017,252.8833784087884,368.77342913171327,404.50063655576764,392.17389129046705,385.25881469001416,503.4060320781032,336.64762845551746,565.6607085033353,375.5613021010018,332.1282348610217,395.94716382595396,231.04642046088944,348.5562090867046,363.31674856753534,286.30340453690405,354.1207895098843,318.98935895023743,359.1654264766655,359.7240070419756,237.63837047443516,277.0235445124932,272.26109990211006,349.7154950847519,368.72627452825174,282.01424686743235,370.92247432312763,390.43317754908884,343.1976003953667,414.9926854924489,318.37976104110186,403.37760138788417,395.1695936282679
White People - regardless of Hispanic identification,345.529829886259,306.96486719445744,358.4276809799241,432.4952690558539,372.6888512833466,432.7051423898147,235.79791171488097,349.36735268720946,310.3864997162812,546.2617238501308,308.22522173716914,372.12155272952265,383.24085375196046,412.5538464698634,310.2216782235377,315.4805137862762,395.6184383060041,459.63412333366267,369.40177001448313,401.68377959288296,405.0966807505964,338.70795491475565,403.7132118431781,360.9936609040465,389.65754059662544,296.46259962218784,358.5553583267129,266.72316131821754,204.00804017257528,321.03818958355924,198.0,360.1904187184867,339.1452333611693,320.7585821349612,379.72386255214775,316.48722395112947,320.42403653102775,322.1630216993815,386.90248259628834,334.7280185953812,336.97716452228855,503.90213991049467,96.02668923286089,356.14657952294635,265.69246492991334,308.54519406532836,354.6218137408697,564.7339334232549,380.53195577206066,378.8117974726156,342.77472718735817,230.25195380091455,385.43193050561024,342.7169181570686,428.43635901337655,368.8074527626362,341.37666777632387,319.8822271499963,338.2284369630708,393.6540930985382,389.96903289507424,254.02394868660704,362.7042990969826,413.14861584342805,394.7996812613321,383.06153473973757,448.92559961790187,334.3627737520027,566.859483269325,379.3095910118032,334.822541550751,404.4563886788472,228.92440663930358,349.1277149110037,357.9724758244279,286.76210622644095,348.0779428739519,318.36675618640766,352.9347065903065,365.41464546219385,251.0525872958696,285.8315377952404,271.660192254635,353.8473714639279,376.98640794312945,299.65725965358865,374.36313636687856,393.8880119876265,339.41458802109685,424.1905394967151,338.9127175608312,429.01395676368963,408.4050086306263
White non-Hispanic people,343.1174212824007,308.53259452453716,356.31580151600093,426.9627817078376,364.0632583484117,433.66009746666373,236.96979910977674,349.9445018264556,314.84998865156723,557.4593637069449,307.94484339692207,368.2306625613475,384.3208164421908,411.410302102403,307.04145342304923,312.196019156968,384.57555926613634,468.18341270379074,368.7822884694109,404.2525857188959,405.47306131519525,343.02940711961844,405.4236442225925,359.4635505610772,387.29009308267706,297.0676577576655,362.37166282442246,261.72816656806424,202.93134020618558,315.3321028749954,198.0,355.1358444493999,339.8231317578231,336.1249361990404,381.42960978384673,313.3466924223895,308.3354400030689,325.7660749007461,387.44844587780614,337.6202495322338,346.35774054746867,497.38198744548833,94.78818265139331,355.17089752702157,273.9281065088757,315.3626505393458,350.8107601512098,560.8099560561725,380.43087539888234,394.90656246869054,342.37574734790036,218.06233688680499,387.35922728083244,342.3379894010857,424.9420778968352,370.0456937756174,341.8041133055803,321.0070269363529,338.73776571372355,369.78325596025996,382.15181314994703,255.43492660856475,361.917182435812,411.2764279873034,395.27432176908593,381.49444019094886,472.57723181707615,343.28937543419147,564.6121292725096,378.89677649531995,333.49357882788956,404.2397506540104,236.16252651872642,345.2725546761057,357.10823731220984,281.173636510908,357.5265718237171,316.4293602058962,352.3159883166332,364.6153964661835,258.33393620745187,282.92898447413336,271.5856778277598,361.9518679777799,369.85369657153916,299.2692680063078,376.3805299717837,393.0566077671936,337.2604160146793,424.07831452348756,343.14738573427525,430.19179899898967,408.54950861778474
Black People - regardless of Hispanic identification,349.138680969417,295.4952709637184,363.1001758713093,443.8173377261941,376.64964678888515,372.66482631271646,254.417370782568,357.7632499921805,281.66316296197095,544.9586312702081,302.3081185407695,384.9707498075695,372.5730605767958,382.9769268503499,300.74970561558877,329.95978771329214,386.1679282123269,465.6299204084655,374.60492232919887,426.24127539374166,407.39729265705597,366.97367095732415,388.166347706194,367.7165383919635,390.2755604179484,273.2749104571665,323.6151511938244,261.4846291353205,243.70267393749128,307.206831449717,481.00429184549364,358.1103244623071,351.2224494670863,307.75650831488286,377.39208510990943,331.45729266127853,324.25445580794747,323.1316789419279,381.3217881480308,341.9285494687743,267.5196704227336,533.1678567894254,99.18598126598475,349.81478386538254,220.3089034292947,339.15975403149264,368.12200224839864,591.5635646191425,333.6717821592975,320.2967165478929,333.3608134872622,296.1975356824183,373.49728880409094,352.73616052922193,430.8670784412026,370.63899125019896,338.50851794336495,319.50282205369433,350.2798493529188,430.96120623799277,427.62324325492403,246.8463134382277,377.9416349658565,390.1037530687276,387.47326704890844,387.91067828877016,578.7468967693048,325.9288641827704,572.7949665129001,368.7805498908052,332.1065541115199,385.7806583548198,210.94817848956055,352.2083516099409,370.8692813199383,299.13113295381413,354.7143969116993,322.97189239803913,369.49787161256967,356.1501460698497,200.9339200487262,269.95000559154164,275.0203383862442,340.2350832410708,375.7106813356179,260.1633472707915,365.4503667616222,387.68957619228155,347.72785083268525,405.8798191255625,297.87841224013465,371.68960885747765,377.243069049966
Black non-Hispanic people,349.12965767115793,295.44059860045905,363.0392886072996,443.99264207138606,376.9843908044222,372.19387676734243,254.68954904307796,357.9181137630117,282.16834161719726,545.042965775888,302.02123134577664,385.45740869222766,372.371067298806,382.7746817286095,300.0083691390803,329.95305784039624,386.17740958998627,465.7978701284529,374.7561044096448,426.8744886144818,407.54081081141914,367.21506341229957,388.1471255336395,367.57330888820405,390.22467242380617,273.2912974584278,323.41099571073516,261.5730485099769,245.61083743842366,307.1961877151473,481.00429184549364,358.6637893275477,351.4738798951665,307.7738462230823,377.5710491944871,331.62976226334075,321.46473590408294,323.3847952794671,381.3826067326268,342.3184041693622,267.4469383904142,532.9128151551413,99.25876591988964,349.8751417716796,220.8249607535322,339.4673711725078,368.23113491735035,592.188076057769,333.176903085586,320.39504717815856,332.6067176277132,296.6210836447255,373.5181138325816,352.5952509432379,431.1991060631401,370.7095649427121,338.59894811431604,319.3722063448767,350.44514949391663,431.88890240099784,428.0217347864271,246.81581520108466,378.1934672364887,389.9377795101339,387.3452054554713,387.9622736679578,581.1308016877637,326.11989202516634,572.6971711398277,368.6410079633045,332.1100352514294,385.48127472701236,210.82584122968714,352.2028471339266,371.16197755457387,299.689032508968,354.54117750624835,323.07435988389136,369.68511599624685,355.976736692559,200.53611469672651,269.80244991770104,275.047832111164,340.3740930328736,375.83943575968095,260.262606739055,365.2538483695818,387.5948524116261,347.9188080895899,405.8963321477249,297.7677548160518,371.204621985431,376.9858710630253
Asian People - regardless of Hispanic identification,338.5264204378245,312.13085892803747,357.2482114963634,442.1193250412255,388.1366755975948,425.49884891424733,241.62504802114393,352.4288085652594,382.8650609629337,544.6121813442587,313.75493136418896,362.5663799931773,394.176600677362,416.54760075185624,298.3984981388195,318.96935258324186,390.6629489980169,485.654673655285,374.4970220754792,390.13300539630154,409.0693992485031,357.8586089439548,397.62536094839123,360.9338151380087,391.47671392075404,283.10464752396047,370.61785386119254,254.48644560650797,226.85,305.3808050345425,198.0,338.91682327445835,329.74659865030736,309.9863912791233,383.6170778733636,315.81162904794957,368.0310898897543,326.82867939470276,380.8676346466234,319.0237506358349,352.9076288478023,504.67907831728195,94.99542329859781,346.8960778637118,294.0,335.4219459287942,357.3709777045106,562.2515769563917,391.5790652920475,319.62605817793724,368.0887220273472,209.56716897807445,385.2867206988784,338.1599857643637,414.40016476658036,369.27314996316915,348.3798285244795,326.88899627292926,347.98081950228755,382.19698389959024,403.09711639739083,264.5735512123809,363.8678364490389,435.7658225023751,402.0826017943067,391.13683203352053,600.3111723275604,339.41430457167104,563.1286923926069,377.9192165038635,325.9959004445048,401.23140880047475,263.73041216188227,350.07299248170835,359.39242829611436,266.2290635292256,348.6161426245773,273.54888917697207,351.75593096344943,352.11484641790247,243.08847535725,282.26182044711516,263.88114455977075,351.61445057126383,353.5773723222721,300.8859727676336,371.92153601182395,390.38501536974866,350.40611398759967,416.1626572078677,322.5664711288033,400.46225126277926,402.3073271599084
